sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window,effect_label
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,0.0,1.613948050819952,1.5263541209761653,1.6579673115086608,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,0.3015075376884422,1.5069586246878237,1.4173089094581188,1.5502849081997183,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,0.6030150753768844,1.406278908288718,1.3142596121571002,1.4488002230811352,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,0.9045226130653266,1.3117328707894733,1.2169665241025045,1.3533427314624584,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,1.2060301507537687,1.2231444813569308,1.1213720918740369,1.263741908653237,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,1.507537688442211,1.1403377091579276,1.032327133205229,1.17982722996302,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,1.809045226130653,1.0631365233593049,0.9496217647262921,1.1014281707013558,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,2.1105527638190953,0.991364893127902,0.8730461030674349,1.028374206177793,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,2.4120603015075375,0.924846787630558,0.8023902648588678,0.9604948117018801,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,2.7135678391959797,0.8634061760341126,0.7374443667308,0.8976194625831659,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,3.015075376884422,0.806867027505405,0.6779985253134414,0.839577634131199,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,3.316582914572864,0.7550533112112748,0.6238108908730204,0.7861988016555281,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,3.618090452261306,0.7077889963185612,0.5746036700419238,0.7373124404657023,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,3.9195979899497484,0.6648980519941037,0.5302839763262123,0.6927480258712693,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,4.221105527638191,0.6262044474047423,0.490641106874717,0.6523350331817785,,2014-2024,Shot Distance
NBA,LogisticGAM,Expected FG,distance_spline,continuous_pdp,4.522613065326633,0.5915321517173167,0.45546435883626707,0.615902937706778,,2014-2024,Shot Distance
