sport,model_family,target_label,factor_key,plot_type,x_value,y_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,76.08695652173913,-50.0,0.2342095721671612,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,83.33333333333337,-50.0,0.22039547002036813,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,90.57971014492756,-50.0,0.20625622176978495,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,97.82608695652175,-50.0,0.19184767645212136,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,105.07246376811594,-50.0,0.17721432110359522,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,112.31884057971013,-50.0,0.16239184333564122,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,119.56521739130437,-50.0,0.1474090859059876,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,126.81159420289856,-50.0,0.1322895360821747,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,134.05797101449275,-50.0,0.11705246310961917,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,141.304347826087,-50.0,0.10171379067794625,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,148.55072463768118,-50.0,0.08628676984756735,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,155.79710144927537,-50.0,0.07078250133802932,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,163.04347826086956,-50.0,0.05521034360520305,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,170.28985507246375,-50.0,0.03957823386028911,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,177.536231884058,-50.0,0.023892942329417827,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,184.7826086956522,-50.0,0.008160274994322397,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,192.02898550724638,-50.0,-0.007614763683423065,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,199.27536231884062,-50.0,-0.02342783932314957,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,206.5217391304348,-50.0,-0.03927518080258871,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,213.768115942029,-50.0,-0.05515349292786806,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,221.0144927536232,-50.0,-0.07105988463365315,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,228.26086956521738,-50.0,-0.0869918096305512,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,235.50724637681162,-50.0,-0.10294701708651385,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,242.7536231884058,-50.0,-0.11892351044192082,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,250.0,-50.0,-0.13491951285326306,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-250.0,-43.18840579710145,-0.1622845013461117,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-242.7536231884058,-43.18840579710145,-0.14620523998690607,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-235.5072463768116,-43.18840579710145,-0.1301406387101475,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-228.26086956521738,-43.18840579710145,-0.11409204730760983,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-221.0144927536232,-43.18840579710145,-0.09806098488996959,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-213.768115942029,-43.18840579710145,-0.0820491670091377,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-206.52173913043478,-43.18840579710145,-0.06605853810418819,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-199.27536231884056,-43.18840579710145,-0.050091310514725707,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-192.02898550724638,-43.18840579710145,-0.03415001164401488,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-184.7826086956522,-43.18840579710145,-0.018237541298006005,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-177.53623188405797,-43.18840579710145,-0.0023572418126098504,,,,2014-2024
