PLAYER_NAME,total_attempts,total_makes,total_poe,total_xp,total_actual_points,avg_xp_prob,fg_pct,poe_per_100,shooting_skill,expected_fg_pct,fg_residual,fg_residual_pct,salary_millions,POE_per_million,points_per_million,cost_per_POE
AJ Green,391,172,73.16689392552766,421.8331060744724,495,0.3764442404400402,0.4398976982097187,18.71276059476411,0.0634534577696784,0.3764442404400402,0.0634534577696784,6.345345776967848,2.301587,31.789758078025145,215.06899369869572,0.031456672225865595
Aaron Gordon,273,139,14.497315845668124,305.50268415433186,320,0.4893409391946666,0.5091575091575091,5.310372104640338,0.0198165699628424,0.4893409391946666,0.0198165699628424,1.981656996284248,22.841455,0.6346931859493243,14.009615411977915,1.575564417797047
Aaron Nesmith,370,144,-30.114934459848765,394.1149344598488,364,0.43214261778115,0.3891891891891892,-8.139171475634802,-0.0429534285919607,0.43214261778115,-0.0429534285919607,-4.295342859196078,11.0,-2.737721314531706,33.09090909090909,11.0
Aaron Wiggins,363,161,-3.0788564071730775,400.0788564071731,397,0.4537461987613301,0.443526170798898,-0.8481698091385887,-0.010220027962432,0.4537461987613301,-0.010220027962432,-1.0220027962432043,10.102803,-0.30475269162162993,39.29602507343754,10.102803
Ace Bailey,518,233,-42.17034044764985,581.1703404476499,539,0.4835840356798624,0.4498069498069498,-8.140992364411167,-0.0337770858729126,0.4835840356798624,-0.0337770858729126,-3.3777085872912616,9.06984,-4.649513160943286,59.42772970636748,9.06984
Ajay Mitchell,456,222,22.56126083379854,469.43873916620146,492,0.459415984342249,0.4868421052631579,4.947644919692662,0.0274261209209088,0.459415984342249,0.0274261209209088,2.7426120920908845,3.0,7.520420277932846,164.0,0.1329712919016372
Alex Sarr,575,285,-29.66643858031015,639.6664385803101,610,0.5190746803988402,0.4956521739130435,-5.159380622662635,-0.0234225064857966,0.5190746803988402,-0.0234225064857966,-2.342250648579669,11.80824,-2.512350577250306,51.65884162246025,11.80824
Alperen Sengun,744,370,-18.160186856604884,784.1601868566049,766,0.5064288002426991,0.4973118279569892,-2.4408853301888285,-0.0091169722857098,0.5064288002426991,-0.0091169722857098,-0.9116972285709846,33.944954,-0.5349892905026439,22.565946031330604,33.944954
Amen Thompson,699,353,-81.86813859391823,805.8681385939183,724,0.5529168733636497,0.5050071530758226,-11.71218005635454,-0.0479097202878271,0.5529168733636497,-0.0479097202878271,-4.790972028782714,9.6906,-8.448201204664132,74.71157616659443,9.6906
Andrew Nembhard,594,262,15.53017977632194,591.4698202236781,607,0.4303818774189321,0.441077441077441,2.6145083798521784,0.0106955636585089,0.4303818774189321,0.0106955636585089,1.0695563658508933,18.102,0.8579261836439035,33.532206386034694,1.165601445747536
Andrew Wiggins,648,305,16.914490854942542,691.0855091450575,708,0.4635277128044031,0.470679012345679,2.6102609344047134,0.0071512995412758,0.4635277128044031,0.0071512995412758,0.7151299541275857,28.223215,0.5993112710562047,25.085731728295308,1.6685820011988692
Anfernee Simons,624,276,67.63406891531876,626.3659310846813,694,0.3972120530911199,0.4423076923076923,10.838793095403648,0.0450956392165723,0.3972120530911199,0.0450956392165723,4.509563921657239,27.678571,2.443553495421377,25.073548775332366,0.40924006856152567
Anthony Black,665,306,-48.6941488373637,749.6941488373637,701,0.492729182333967,0.4601503759398496,-7.322428396596045,-0.0325788063941174,0.492729182333967,-0.0325788063941174,-3.2578806394117423,7.97028,-6.109465268141609,87.95174071676277,7.97028
Anthony Davis,334,169,-23.125753305719645,371.1257533057196,348,0.5355646381494552,0.5059880239520959,-6.923878235245402,-0.0295766141973593,0.5355646381494552,-0.0295766141973593,-2.957661419735935,54.12645,-0.4272542039191494,6.429388958632979,54.12645
Anthony Edwards,940,463,95.34994208908964,985.6500579109104,1081,0.4502542708593471,0.4925531914893617,10.143610860541452,0.0422989206300146,0.4502542708593471,0.0422989206300146,4.229892063001461,45.550512,2.0932792608146675,23.731895702950606,0.47771934625235696
Ausar Thompson,403,206,-51.638074406629464,469.6380744066294,418,0.574030891268907,0.511166253101737,-12.813417966905574,-0.06286463816717,0.574030891268907,-0.06286463816717,-6.286463816717003,8.775,-5.8846808440603375,47.635327635327634,8.775
