sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window,level_key,level_label
NBA,LogisticGAM,Expected FG,shot_type,discrete_summary,0.0,0.0,,,,2014-2024,baseline,Other
NBA,LogisticGAM,Expected FG,shot_type,discrete_summary,1.0,1.397871684263948,,,,2014-2024,is_dunk,Dunk
NBA,LogisticGAM,Expected FG,shot_type,discrete_summary,2.0,-0.23565956275471348,,,,2014-2024,is_layup,Layup
NBA,LogisticGAM,Expected FG,shot_type,discrete_summary,3.0,-0.24123116764898,,,,2014-2024,is_hook,Hook
NBA,LogisticGAM,Expected FG,shot_type,discrete_summary,4.0,0.03367576787052673,,,,2014-2024,is_floater,Floater
NBA,LogisticGAM,Expected FG,shot_type,discrete_summary,5.0,-0.46218973700357086,,,,2014-2024,is_jump_shot_2,2PT Jump
NBA,LogisticGAM,Expected FG,shot_type,discrete_summary,6.0,-0.46218973700357086,,,,2014-2024,is_jump_shot_3,3PT Jump
