player,season_window,attempts,mean_sdi,actual_rate,expected_rate,residual,sport,position_group
Alex Ovechkin,2014-2024,5580,25.50470671744156,0.0931899641577061,0.07573529472759856,0.01745466943010754,NHL,W
Nathan MacKinnon,2014-2024,4837,24.513284170487488,0.0822824064502791,0.07046310459168904,0.01181930185859005,NHL,C
Brent Burns,2014-2024,4504,30.10745710810512,0.040408525754884544,0.03396236161856127,0.006446164136323276,NHL,D
David Pastrnak,2014-2024,4365,25.21539199381401,0.09782359679266896,0.07421793319816722,0.02360566359450174,NHL,W
Nikita Kucherov,2014-2024,4082,24.52153052854835,0.09799118079372857,0.07571746031847132,0.022273720475257247,NHL,W
Filip Forsberg,2014-2024,4050,25.1567963937311,0.08592592592592592,0.07401246192345678,0.011913464002469135,NHL,W
John Tavares,2014-2024,4028,20.64443820063216,0.09508440913604767,0.09997891628848063,-0.004894507152432961,NHL,C
Auston Matthews,2014-2024,3980,22.409517120960288,0.10703517587939698,0.08875330610804018,0.018281869771356804,NHL,C
Roman Josi,2014-2024,3796,28.366511649241357,0.04715489989462592,0.04379904829293993,0.0033558516016859927,NHL,D
Patrick Kane,2014-2024,3728,25.688693598688225,0.08851931330472103,0.06690801760729612,0.021611295697424912,NHL,W
Sidney Crosby,2014-2024,3653,23.97077792384427,0.1042978373939228,0.09363910338352037,0.010658734010402432,NHL,C
Nazem Kadri,2014-2024,3630,23.550250921388184,0.0765840220385675,0.08001240693663911,-0.0034283848980716097,NHL,C
Connor McDavid,2014-2024,3594,22.208461997684857,0.11185308848080133,0.09804125185308847,0.013811836627712862,NHL,C
Tyler Seguin,2014-2024,3563,24.142135779349598,0.08083076059500421,0.08395660925624474,-0.003125848661240521,NHL,C
Vladimir Tarasenko,2014-2024,3480,23.88090795972239,0.09166666666666666,0.073007659341954,0.018659007324712665,NHL,W
Victor Hedman,2014-2024,3451,27.78328462913263,0.047522457258765576,0.04006923890756301,0.007453218351202565,NHL,D
Brad Marchand,2014-2024,3432,23.857658699983304,0.10955710955710955,0.09121793103146852,0.01833917852564103,NHL,C
Mika Zibanejad,2014-2024,3417,25.270615533906376,0.09043020193151888,0.0784296906965174,0.012000511235001482,NHL,C
Steven Stamkos,2014-2024,3415,23.868614956802443,0.11332357247437774,0.08780156435139091,0.025522008122986828,NHL,C
Leon Draisaitl,2014-2024,3397,24.168824109679615,0.13246982631733883,0.0975472614659994,0.03492256485133943,NHL,C
Tyler Toffoli,2014-2024,3393,24.035316148303192,0.08458591217211907,0.08124151781609194,0.003344394356027125,NHL,C
Sebastian Aho,2014-2024,3375,23.549778988123677,0.09718518518518518,0.08816866555259259,0.00901651963259259,NHL,W
Jonathan Marchessault,2014-2024,3341,24.92535992206367,0.08500448967375038,0.07519689879377431,0.00980759087997607,NHL,C
Jeff Skinner,2014-2024,3338,23.935866956220945,0.08208508088675853,0.08158273531455959,0.0005023455721989423,NHL,C
