sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,16.281407035175878,-0.07391756125740816,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,16.58291457286432,-0.08070937393037096,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,16.884422110552762,-0.0875011866033332,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,17.185929648241206,-0.09429299927629572,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,17.487437185929647,-0.10108481194925839,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,17.788944723618087,-0.10787662462222064,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,18.09045226130653,-0.11466843729518314,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,18.391959798994975,-0.1214602499681455,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,18.693467336683415,-0.12825206264110808,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,18.994974874371856,-0.13504387531407067,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,19.2964824120603,-0.14183568798703275,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,19.597989949748744,-0.14862750065999572,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,19.899497487437184,-0.15541931333295778,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,20.201005025125625,-0.16221112600592044,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,20.50251256281407,-0.16900293867888308,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,20.804020100502512,-0.17579475135184533,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,21.105527638190953,-0.18258656402480775,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,21.407035175879393,-0.1893783766977701,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,21.708542713567837,-0.19617018937073272,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,22.01005025125628,-0.2029620020436954,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,22.31155778894472,-0.2097538147166575,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,22.613065326633162,-0.21654562738962024,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,22.914572864321606,-0.22333744006258222,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,23.21608040201005,-0.23012925273554513,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,23.51758793969849,-0.23692106540850755,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,23.81909547738693,-0.2437128780814698,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,24.120603015075375,-0.25050469075443266,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,24.42211055276382,-0.2572965034273949,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,24.72361809045226,-0.2640883161003573,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,25.0251256281407,-0.27088012877331996,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,25.326633165829143,-0.2776719414462821,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,25.628140703517587,-0.2844637541192451,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,25.929648241206028,-0.2912555667922071,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,26.23115577889447,-0.2980473794651697,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,26.532663316582912,-0.3048391921381321,,,13.0,2014-2024
