sdi_bucket,sdi_mean,attempts,actual_fg,predicted_fg,avg_points_per_shot,avg_shot_value_added,avg_points_over_expected
"(0.0371, 0.207]",0.15326159692740912,12179,0.7255111257081862,0.6862424991859326,1.4510222514163724,0.03926862652225353,0.07853725304450707
"(0.207, 0.269]",0.23890021744471274,12178,0.6545409755296436,0.6261900058450213,1.3090819510592873,0.028350969684622345,0.05670193936924469
"(0.269, 0.324]",0.2969671451895866,12178,0.5790770241418952,0.582622137925664,1.1581540482837904,-0.0035451137837687542,-0.0070902275675375085
"(0.324, 0.375]",0.349676830294845,12179,0.5306675424911733,0.541889702471018,1.0624846046473437,-0.011222159979844633,-0.022722979631266706
"(0.375, 0.425]",0.40042956090999854,12178,0.47158810970602727,0.5021198244484578,0.9968796189850551,-0.030531714742430594,-0.07800086288135323
"(0.425, 0.467]",0.44672528938429507,12178,0.42396124158318277,0.4658010243537294,0.9871900147807522,-0.04183978277054655,-0.11922276485959475
"(0.467, 0.502]",0.48519486987472066,12178,0.40228280505830183,0.4358699204746332,1.0206930530464773,-0.03358711541633135,-0.10504604107350461
"(0.502, 0.535]",0.5183387445168853,12178,0.38241090491049434,0.41044660665492777,1.0150270980456562,-0.028035701744433407,-0.08712526104010881
"(0.535, 0.567]",0.5507436232114494,12179,0.3809836603990475,0.3860423693156277,1.0357172181624108,-0.005058708916580157,-0.02460245135227107
"(0.567, 0.602]",0.5841579950627932,12178,0.37707341106914105,0.3614711238912399,1.043028411890294,0.015602287177901164,0.03461372204386994
"(0.602, 0.644]",0.6218689193680972,12178,0.35892593200854,0.334602105180097,1.0027098045656102,0.02432382682844303,0.06184543863677806
"(0.644, 0.831]",0.6815940211650772,12179,0.3407504721241481,0.29453150811727574,0.9604236801050989,0.046218964006872365,0.12495471655952994
