x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window
0.0,2.114093807273594,2.0431992717553404,2.1868628924203892,NHL,Shot Distance,2014-2024
0.5025125628140703,2.114093807273594,2.0431992717553404,2.1868628924203892,NHL,Shot Distance,2014-2024
1.0050251256281406,2.1140641497556016,2.043184199546587,2.1868273668120803,NHL,Shot Distance,2014-2024
1.507537688442211,2.1095973796007543,2.040333862551241,2.181754079346631,NHL,Shot Distance,2014-2024
2.0100502512562812,2.102275958903589,2.034925703750205,2.173788374461266,NHL,Shot Distance,2014-2024
2.5125628140703515,2.0922755041313623,2.027111684450066,2.163107748350876,NHL,Shot Distance,2014-2024
3.015075376884422,2.0797716317513304,2.0170437659574074,2.1498896972103516,NHL,Shot Distance,2014-2024
3.517587939698492,2.064939958230749,2.0048739095788157,2.134311717234582,NHL,Shot Distance,2014-2024
4.0201005025125625,2.0479561000368736,1.990754076620875,2.1165513046184565,NHL,Shot Distance,2014-2024
4.522613065326633,2.0289956736369588,1.9748362283901717,2.097248914869887,NHL,Shot Distance,2014-2024
5.025125628140703,2.0082342954982626,1.9572723261932896,2.076237043397382,NHL,Shot Distance,2014-2024
5.527638190954773,1.985847582088039,1.9382143313368152,2.053589105322823,NHL,Shot Distance,2014-2024
6.030150753768844,1.962011149873545,1.9178142051273337,2.0294806838347093,NHL,Shot Distance,2014-2024
6.532663316582914,1.9369006153220352,1.8962239088714297,2.004087362121537,NHL,Shot Distance,2014-2024
7.035175879396984,1.9106915949007663,1.8735954038756877,1.977584723371803,NHL,Shot Distance,2014-2024
7.537688442211055,1.8835597050769937,1.8500806514466952,1.950148350774005,NHL,Shot Distance,2014-2024
8.040201005025125,1.855680562317972,1.823448418623215,1.92195382751664,NHL,Shot Distance,2014-2024
8.542713567839195,1.827229783090959,1.7926797056569106,1.8931767367882049,NHL,Shot Distance,2014-2024
9.045226130653266,1.7983829838632093,1.76147771171319,1.863992661777198,NHL,Shot Distance,2014-2024
9.547738693467336,1.7693157811019784,1.730024783772518,1.8345771856721151,NHL,Shot Distance,2014-2024
10.050251256281406,1.7402037912745232,1.698503268815359,1.8051058916614544,NHL,Shot Distance,2014-2024
10.552763819095476,1.7112226308480982,1.6670955138221766,1.7757543629337134,NHL,Shot Distance,2014-2024
11.055276381909549,1.68254791628996,1.635937611554489,1.7466981826773875,NHL,Shot Distance,2014-2024
11.557788944723615,1.6543552640673638,1.6050628297627882,1.718112934080976,NHL,Shot Distance,2014-2024
12.060301507537687,1.6268202906475655,1.5740570670827003,1.6901742003329747,NHL,Shot Distance,2014-2024
12.562814070351758,1.6001186124978215,1.5436940747609829,1.663057564621881,NHL,Shot Distance,2014-2024
13.065326633165828,1.5744258460853864,1.514405725872604,1.636938610136193,NHL,Shot Distance,2014-2024
13.567839195979898,1.5499176078775163,1.4863808396434202,1.6119929200644063,NHL,Shot Distance,2014-2024
14.070351758793969,1.526769514341468,1.4598082352992872,1.58839607759502,NHL,Shot Distance,2014-2024
14.57286432160804,1.5051571819444964,1.4348767320660607,1.56632366591653,NHL,Shot Distance,2014-2024
15.07537688442211,1.4852545959131698,1.4117734916050846,1.5459496385193183,NHL,Shot Distance,2014-2024
15.57788944723618,1.467125329688053,1.390573482043202,1.52733764151789,NHL,Shot Distance,2014-2024
16.08040201005025,1.4506541915023217,1.3711700215114704,1.5103727248674252,NHL,Shot Distance,2014-2024
16.58291457286432,1.43570968462934,1.3534398600630526,1.4949236489819622,NHL,Shot Distance,2014-2024
17.08542713567839,1.4221603123424735,1.3372597477511108,1.480859174275539,NHL,Shot Distance,2014-2024
17.587939698492463,1.4098745779150854,1.3225064346288071,1.4680480611621944,NHL,Shot Distance,2014-2024
18.09045226130653,1.398720984620541,1.3090566707493048,1.4563590700559674,NHL,Shot Distance,2014-2024
18.5929648241206,1.388568035732205,1.296787206165765,1.445660961370895,NHL,Shot Distance,2014-2024
19.09547738693467,1.3792842345234408,1.2855747909313509,1.4358224955210168,NHL,Shot Distance,2014-2024
19.597989949748744,1.3707380842676131,1.275296175099223,1.4267124329203702,NHL,Shot Distance,2014-2024
20.100502512562812,1.362798088238088,1.2658281087225465,1.4181995339829947,NHL,Shot Distance,2014-2024
20.60301507537688,1.3553327497082286,1.257047341854481,1.4101525591229285,NHL,Shot Distance,2014-2024
21.105527638190953,1.348210571951399,1.2488306245481902,1.4024402687542086,NHL,Shot Distance,2014-2024
21.608040201005025,1.3413000582409644,1.2410547068568356,1.3949314232908752,NHL,Shot Distance,2014-2024
22.110552763819097,1.3344697118502893,1.2335963388335804,1.3874947831469655,NHL,Shot Distance,2014-2024
