sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.3316582914572868,-0.004346003343288381,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.35678391959799,-0.0046752460208104064,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.381909547738694,-0.0050044886983318,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.407035175879397,-0.005333731375853846,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.432160804020101,-0.0056629740533754615,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.457286432160804,-0.005992216730897119,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.482412060301508,-0.0063214594084191784,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.507537688442211,-0.006650702085940912,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.532663316582915,-0.006979944763462868,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.557788944723618,-0.007309187440984948,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.582914572864322,-0.007638430118506356,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.608040201005025,-0.007967672796028297,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.633165829145729,-0.008296915473550017,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.658291457286432,-0.008626158151071813,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.683417085427136,-0.008955400828593859,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.708542713567839,-0.009284643506115551,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.733668341708543,-0.009613886183637291,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.758793969849246,-0.009943128861159032,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.78391959798995,-0.010272371538681175,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.809045226130653,-0.010601614216202603,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.834170854271357,-0.01093085689372449,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.85929648241206,-0.011260099571246598,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.884422110552764,-0.01158934224876822,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.909547738693467,-0.01191858492628976,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.934673366834171,-0.012247827603812048,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.959798994974874,-0.012577070281333574,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,2.984924623115578,-0.012906312958855203,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.0100502512562817,-0.013235555636377312,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.035175879396985,-0.013564798313899288,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.0603015075376887,-0.013894040991420813,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.085427135678392,-0.014223283668943026,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.1105527638190957,-0.01455252634646444,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.1356783919597992,-0.014881769023986548,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.1608040201005028,-0.015211011701508192,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.1859296482412063,-0.015540254379029655,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.21105527638191,-0.015869497056552096,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.2361809045226133,-0.01619873973407367,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.261306532663317,-0.016527982411595348,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.2864321608040203,-0.01685722508911745,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.311557788944724,-0.01718646776663914,,,2.0,2014-2024
