season,probability_source,n_shots,brier_score,log_loss,auc_roc,ece,mce,calibration_intercept,calibration_slope,scope,group
2025-26,xP_prob,44946,0.22717232847656638,0.6467248292932859,0.5216494882073232,0.004605562597252433,0.8006398479122241,0.037384782300740604,1.093193772015748,SHOT_ZONE_BASIC,Above the Break 3
2025-26,xP_prob,29670,0.24483447300956335,0.6827301326199393,0.540293223204342,0.012075956866519001,0.3979636122821971,-0.019422439310256785,0.8042516850554278,SHOT_ZONE_BASIC,In The Paint (Non-RA)
2025-26,xP_prob,8099,0.2362499783764395,0.6653839042295437,0.5090735746088181,0.0050310015813682185,0.17150602813979204,-0.20094984266426213,0.6052838149427863,SHOT_ZONE_BASIC,Left Corner 3
2025-26,xP_prob,14856,0.2421506077363135,0.6773508336984679,0.5317374800249036,0.00595251432396511,0.372151535098747,-0.09994290944393189,0.7273595827737526,SHOT_ZONE_BASIC,Mid-Range
2025-26,xP_prob,40983,0.20805073697248874,0.5996344477047114,0.6329410445334521,0.02067265810059329,0.25506009251445455,0.036680367959911094,1.0025614375982237,SHOT_ZONE_BASIC,Restricted Area
2025-26,xP_prob,7564,0.23658655464030676,0.6660618651550811,0.5082530712966122,0.0038134010238031614,0.5271552636619099,-0.08085040168306537,0.8569031825498247,SHOT_ZONE_BASIC,Right Corner 3
2025-26,xP_prob,40983,0.20805073697248874,0.5996344477047114,0.6329410445334521,0.02067265810059329,0.25506009251445455,0.036680367959911094,1.0025614375982237,distance_band,0-4 ft
2025-26,xP_prob,10637,0.24226899867231733,0.6776017676942138,0.5271931296599048,0.007968369334847967,0.0919422849509905,-0.037399115237122,0.8135673051070211,distance_band,14-22 ft
2025-26,xP_prob,59945,0.23009923842855956,0.6527491802367127,0.524407977056297,0.00395472652349307,0.1947086847009919,-0.013584390050544595,1.0062234793543934,distance_band,22-30 ft
2025-26,xP_prob,1199,0.20642485920161716,0.6150216845379408,0.5464730772648662,0.03393968165203672,0.8006398479122241,-1.154129736049675,-0.2562843499484238,distance_band,30+ ft
2025-26,xP_prob,17289,0.2415786420093591,0.6761336472602616,0.5657041692348571,0.015903921712730498,0.3979636122821971,-0.07421656524891027,0.9479336779040416,distance_band,4-8 ft
2025-26,xP_prob,16087,0.24808256603523543,0.689324755591307,0.5140925813906452,0.026427657222788503,0.14062442431272326,-0.045081372663649796,0.5192374022051656,distance_band,8-14 ft
2025-26,xP_prob,146140,0.22794524652738696,0.6461459638222,0.6496103524948698,0.009071891716316187,0.8006398479122241,0.011781620011351242,1.0221532447386368,overall,all
2025-26,xP_prob,8847,0.09934579256420266,0.34788023015365854,0.6264964478583881,0.0065138515161455735,0.07447936575672665,-1.3326286289063127,1.652897258898259,shot_type_family,dunk
2025-26,xP_prob,13045,0.2503733092165379,0.6943073260317074,0.5119159596326416,0.034830456581277945,0.6382175894836757,-0.1446024011108421,0.2266192661828894,shot_type_family,floater
2025-26,xP_prob,3926,0.24857115132349175,0.6903658835755566,0.558255565312541,0.034064192503078204,0.4004870833323825,-0.015513978709821998,0.5786269788047114,shot_type_family,hook
2025-26,xP_prob,81622,0.23386389925904758,0.6605249159399305,0.5484000915182861,0.005380121127841421,0.8006398479122241,-0.03544324234435244,0.9360343412372346,shot_type_family,jump_shot
2025-26,xP_prob,38241,0.23495231848937254,0.6627086393162591,0.6218782645027111,0.033836185542088136,0.08158236458575963,-0.05052345307779115,1.3651406488044526,shot_type_family,layup
2025-26,xP_prob,459,0.25652537079952836,0.7112275922953051,0.546637537993921,0.06557194423362585,0.9570042262316389,0.03441830128181078,0.09514525893628098,shot_type_family,other
