player,attempts,mean_sdi,actual_fg,predicted_fg,avg_points_per_shot,avg_shot_value_added,avg_points_over_expected,above_expected_fg
Tyrese Maxey,1117,0.46865171486319934,0.4691136974037601,0.45069556827674156,1.0940017905102954,0.018418129127018536,0.04310988853342094,0.018418129127018512
Jaylen Brown,1105,0.46774985303274264,0.4832579185520362,0.4508737745402163,1.0588235294117647,0.03238414401181988,0.06012162303932667,0.03238414401181988
Donovan Mitchell,1060,0.4847885850972637,0.4867924528301887,0.43880239057371895,1.1481132075471698,0.0479900622564697,0.10448344656367257,0.047990062256469734
Jalen Brunson,1024,0.5005278549099161,0.4697265625,0.42652093126318197,1.08203125,0.043205631236818025,0.09487426828183658,0.04320563123681803
Shai Gilgeous-Alexander,964,0.4892688673479277,0.553941908713693,0.4350652180033241,1.1981327800829875,0.11887669071036885,0.24892758717561567,0.11887669071036888
Pascal Siakam,947,0.4304713438185786,0.4804646251319958,0.47903523171871354,1.0591341077085534,0.0014293934132822198,-0.0026715222324145554,0.0014293934132822428
Anthony Edwards,940,0.49793190745041593,0.4925531914893617,0.42887978978488656,1.15,0.06367340170447512,0.14892631705226525,0.06367340170447516
Jamal Murray,937,0.498367088804814,0.48452508004268946,0.4283091243766184,1.1376734258271077,0.05621595566607101,0.13921521407608967,0.05621595566607107
Luka Dončić,923,0.5209245558149119,0.4734561213434453,0.41147156548239355,1.1083423618634887,0.061984555861051706,0.12506392546065417,0.06198455586105173
Brandon Ingram,908,0.4825623395118536,0.473568281938326,0.4395567483807583,1.052863436123348,0.034011533557567676,0.06414468305236962,0.0340115335575677
Cade Cunningham,901,0.4456744219487948,0.46170921198668147,0.46794917313703643,1.02330743618202,-0.006239961150354923,-0.024714866876779384,-0.006239961150354967
Kevin Durant,894,0.4967730992634389,0.5055928411633109,0.4285212062357189,1.1409395973154361,0.07707163492759207,0.16129633201453367,0.07707163492759206
Julius Randle,891,0.42451237536366815,0.49158249158249157,0.4836497244885663,1.0808080808080809,0.007932767093925297,-0.003349057499112371,0.007932767093925264
Dillon Brooks,864,0.5037321964382692,0.4409722222222222,0.42370755041569086,1.0162037037037037,0.017264671806531368,0.026802008236784605,0.01726467180653135
Jalen Johnson,861,0.40763689403446296,0.5017421602787456,0.49649656658413155,1.099883855981417,0.00524559369461407,0.0009381955408914537,0.005245593694614081
Nickeil Alexander-Walker,850,0.4768324734173408,0.4329411764705882,0.4442559341967663,1.0588235294117647,-0.011314757726178045,-0.0224009378603162,-0.01131475772617807
Trey Murphy III,848,0.4624464089453739,0.47641509433962265,0.4551728939722995,1.150943396226415,0.021242200367323157,0.046600645378341035,0.02124220036732316
Shaedon Sharpe,847,0.45435422031317657,0.4557260920897285,0.46141900614028025,1.0306965761511215,-0.005692914050551771,-0.01914792324928533,-0.005692914050551778
Kawhi Leonard,808,0.4567659088469948,0.49133663366336633,0.4589797183535312,1.118811881188119,0.03235691530983513,0.06447533298743884,0.032356915309835144
Scottie Barnes,806,0.39210628698733613,0.5037220843672456,0.5080694493195578,1.0682382133995036,-0.0043473649523121174,-0.028664752959459604,-0.004347364952312138
James Harden,804,0.5145957046434219,0.42039800995024873,0.416714555859527,1.0186567164179106,0.003683454090721778,0.01340816431565765,0.0036834540907217383
Desmond Bane,797,0.44077657110923996,0.47176913425345046,0.47166382520687217,1.0715181932245923,0.00010530904657824429,-0.0004461969928434829,0.00010530904657829465
Derrick White,796,0.5128264515683679,0.38944723618090454,0.416929054907624,0.9660804020100503,-0.02748181872671947,-0.08035551470946857,-0.027481818726719454
Cooper Flagg,790,0.42695411315102166,0.48227848101265824,0.48188591133540354,1.030379746835443,0.00039256967725470436,-0.014435614135874499,0.00039256967725470604
Devin Booker,782,0.5006776755746232,0.45524296675191817,0.42628711571514283,1.0051150895140666,0.02895585103677532,0.045695772854216964,0.028955851036775337
Keyonte George,782,0.48866143460785216,0.4578005115089514,0.4352133705798052,1.0690537084398977,0.022587140929146217,0.04900491926813317,0.02258714092914621
Lauri Markkanen,782,0.42051058296881383,0.4782608695652174,0.4865260671418545,1.10230179028133,-0.008265197576637082,-0.02912543514362471,-0.008265197576637073
CJ McCollum,778,0.5066397289979413,0.455012853470437,0.42189689355705484,1.0796915167095116,0.03311595991338216,0.0743080734163233,0.033115959913382176
Miles Bridges,767,0.440182695447996,0.4485006518904824,0.4719597011933832,1.0430247718383312,-0.023459049302900804,-0.06935274958624242,-0.023459049302900825
Deni Avdija,765,0.4318609865272581,0.4627450980392157,0.47845045659612945,1.0588235294117647,-0.015705358556913736,-0.04329385678283222,-0.01570535855691374
LaMelo Ball,764,0.4795419011710533,0.4005235602094241,0.4421922356180158,1.0039267015706805,-0.04166867540859171,-0.09002434262803832,-0.041668675408591704
Michael Porter Jr.,763,0.4625993040263257,0.4744429882044561,0.4546543374538705,1.145478374836173,0.019788650750585612,0.036435049931798545,0.019788650750585557
DeMar DeRozan,749,0.4885911489500109,0.4939919893190921,0.4349508017206904,1.0427236315086783,0.05904118759840174,0.11121576213297855,0.05904118759840171
Payton Pritchard,744,0.5116660443461591,0.46236559139784944,0.4176665157330025,1.10752688172043,0.04469907566484697,0.08184037019315284,0.04469907566484693
Stephen Curry,744,0.5049177612039404,0.46774193548387094,0.4231794200291206,1.1706989247311828,0.04456251545475039,0.10185126555534069,0.04456251545475032
Alperen Sengun,744,0.37096333161039047,0.49731182795698925,0.5243272612594038,1.0295698924731183,-0.02701543330241452,-0.06426527025129901,-0.027015433302414515
Norman Powell,728,0.47726984754977547,0.4739010989010989,0.4440961093075298,1.1263736263736264,0.029804989593569097,0.07136875794550832,0.029804989593569087
Kon Knueppel,723,0.47786688326698196,0.48409405255878285,0.44325350245250994,1.2213001383125865,0.04084055010627291,0.10930582889878707,0.04084055010627291
Jaren Jackson Jr.,719,0.43036212220265335,0.4756606397774687,0.47929602173860414,1.0681502086230876,-0.003635381961135408,-0.020232725674476662,-0.003635381961135442
Karl-Anthony Towns,714,0.36134026577820644,0.46638655462184875,0.5313246818831866,1.0448179271708684,-0.06493812726133781,-0.15271152281498973,-0.06493812726133785
Ryan Rollins,712,0.4723262548066562,0.46348314606741575,0.4477839837432359,1.098314606741573,0.015699162324179824,0.04808677666527188,0.01569916232417984
Bam Adebayo,705,0.4172417220849277,0.4425531914893617,0.48903346476289755,0.9957446808510638,-0.04648027327353582,-0.11282685009564149,-0.04648027327353588
Amen Thompson,699,0.35825741580628706,0.5050071530758226,0.5338905680871662,1.0357653791130186,-0.028883415011343578,-0.08048361185834554,-0.028883415011343616
Mikal Bridges,694,0.46123375431408264,0.5043227665706052,0.45564227886179326,1.1786743515850144,0.04868048770881196,0.09992831907141213,0.04868048770881189
Immanuel Quickley,694,0.4687013471992708,0.4452449567723343,0.4500761640431502,1.0907780979827089,-0.004831207270815875,-0.015447656031655639,-0.004831207270815929
Nikola Vučević,693,0.3962721246485172,0.5036075036075036,0.5046472527490888,1.1327561327561328,-0.0010397491415852875,-0.01562769789069612,-0.0010397491415852222
Russell Westbrook,683,0.46200252872436676,0.43045387994143486,0.45505054591596683,1.0175695461200585,-0.02459666597453201,-0.06693745133516874,-0.024596665974531973
De'Aaron Fox,674,0.4706417425975064,0.4836795252225519,0.44946990354361005,1.1008902077151335,0.03420962167894187,0.06544377424312338,0.03420962167894187
Paolo Banchero,670,0.4304117788180513,0.4537313432835821,0.47952298815034294,0.9805970149253731,-0.025791644866760836,-0.06691148104429172,-0.025791644866760832
Nikola Jokić,666,0.4107048531454552,0.5900900900900901,0.4941822346180784,1.2942942942942943,0.09590785547201167,0.19998939144042696,0.09590785547201164
Anthony Black,665,0.43180526554027443,0.46015037593984964,0.47836756495789123,1.0541353383458647,-0.018217189018041587,-0.04519887671787142,-0.01821718901804159
