x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window
0.0,1.622388597877955,1.487112121066078,1.6089984800755974,NBA,Shot Distance,2014-2024
0.3015075376884422,1.509368496248436,1.3772095298114648,1.4962466886862293,NBA,Shot Distance,2014-2024
0.6030150753768844,1.4031081358657924,1.274039797686068,1.3903565127425703,NBA,Shot Distance,2014-2024
0.9045226130653266,1.3034183953135385,1.1774109319768855,1.291133842320059,NBA,Shot Distance,2014-2024
1.2060301507537687,1.2101101531751859,1.0871309399709144,1.1983845674941374,NBA,Shot Distance,2014-2024
1.507537688442211,1.1229942880342487,1.0030078289551518,1.1128528664632664,NBA,Shot Distance,2014-2024
1.809045226130653,1.041881678474241,0.9248496062165973,1.0335813729802439,NBA,Shot Distance,2014-2024
2.1105527638190953,0.9665832030786748,0.8524642790422472,0.9601129020736469,NBA,Shot Distance,2014-2024
2.4120603015075375,0.8969097404310634,0.7856598547190999,0.8922558437349368,NBA,Shot Distance,2014-2024
2.7135678391959797,0.8326721691149216,0.7242443405341528,0.8298185879555772,NBA,Shot Distance,2014-2024
3.015075376884422,0.7736813677137606,0.6680257437744032,0.7726095247270296,NBA,Shot Distance,2014-2024
3.316582914572864,0.7197482148110956,0.6168120717268488,0.7204370440407551,NBA,Shot Distance,2014-2024
3.618090452261306,0.6706835889904383,0.5704113316784877,0.6731095358882172,NBA,Shot Distance,2014-2024
3.9195979899497484,0.626298368835303,0.5286315309163176,0.6304353902608781,NBA,Shot Distance,2014-2024
4.221105527638191,0.5864034329292025,0.4912806767273368,0.592222997150199,NBA,Shot Distance,2014-2024
4.522613065326633,0.5508096598556504,0.45816677639854136,0.5582807465476431,NBA,Shot Distance,2014-2024
4.824120603015075,0.5193279281981604,0.42909783721693,0.528417028444672,NBA,Shot Distance,2014-2024
5.125628140703517,0.49176911654024447,0.4038818664695001,0.502440232832748,NBA,Shot Distance,2014-2024
5.427135678391959,0.4679441034654173,0.38232687144324967,0.4801587497033332,NBA,Shot Distance,2014-2024
5.7286432160804015,0.4476637675571914,0.3642408594251761,0.46138096904789055,NBA,Shot Distance,2014-2024
6.030150753768844,0.4307389873990801,0.34942226811469373,0.44591528085788096,NBA,Shot Distance,2014-2024
6.331658291457286,0.4169806415745974,0.33641208052430044,0.43357007512476803,NBA,Shot Distance,2014-2024
6.633165829145728,0.4061996086672558,0.32629752565469755,0.42415374184001253,NBA,Shot Distance,2014-2024
6.93467336683417,0.3982067672605685,0.31889006365856065,0.41747467099507757,NBA,Shot Distance,2014-2024
7.236180904522612,0.3928129959380489,0.3140011546885637,0.41334125258142507,NBA,Shot Distance,2014-2024
7.537688442211055,0.3898291732832111,0.31144225889738214,0.4115618765905173,NBA,Shot Distance,2014-2024
7.839195979899497,0.3890661778795677,0.3110248364376895,0.4119449330138162,NBA,Shot Distance,2014-2024
8.140703517587939,0.3903348883106315,0.3125603474621616,0.4142988118427844,NBA,Shot Distance,2014-2024
8.442211055276381,0.39344618315991686,0.31586025212347235,0.41843190306888345,NBA,Shot Distance,2014-2024
8.743718592964823,0.3982109410109364,0.32073601057429707,0.4241525966835764,NBA,Shot Distance,2014-2024
9.045226130653266,0.40444004044720433,0.3269990829673101,0.4312692826783249,NBA,Shot Distance,2014-2024
9.346733668341708,0.4119443600522323,0.3344609294551861,0.4395903510445908,NBA,Shot Distance,2014-2024
9.64824120603015,0.42053477840953457,0.3429330101905998,0.44892419177383686,NBA,Shot Distance,2014-2024
9.949748743718592,0.4300221741026246,0.3522267853262263,0.45907919485752563,NBA,Shot Distance,2014-2024
10.251256281407034,0.4402174257150159,0.362117007676119,0.46986375028711796,NBA,Shot Distance,2014-2024
10.552763819095476,0.45093141183022045,0.37233731721170166,0.48108624805407746,NBA,Shot Distance,2014-2024
10.854271356783919,0.4619750110317526,0.3828391520194816,0.4925550781498653,NBA,Shot Distance,2014-2024
11.15577889447236,0.473159101903126,0.39343508065961674,0.5040786305659445,NBA,Shot Distance,2014-2024
11.457286432160803,0.4842945630278525,0.40393767169226485,0.5154652952937764,NBA,Shot Distance,2014-2024
11.758793969849245,0.495192272989447,0.41415949367758287,0.5265234623248239,NBA,Shot Distance,2014-2024
12.060301507537687,0.5056631103714215,0.42391311517572833,0.5370615216505485,NBA,Shot Distance,2014-2024
12.36180904522613,0.5155179537572903,0.4330111047468594,0.5468878632624135,NBA,Shot Distance,2014-2024
12.663316582914572,0.5245834957205249,0.441282229574553,0.5558272495475701,NBA,Shot Distance,2014-2024
12.964824120603014,0.5328116939925696,0.4486835687438644,0.5638341312727554,NBA,Shot Distance,2014-2024
13.266331658291456,0.5402141102428848,0.4552332549859424,0.5709246678095831,NBA,Shot Distance,2014-2024
13.567839195979898,0.5468026699278246,0.4609497936669828,0.577115395162192,NBA,Shot Distance,2014-2024
13.86934673366834,0.552589298503743,0.46583470239217845,0.5824228493347204,NBA,Shot Distance,2014-2024
14.170854271356783,0.5575859214269929,0.4697554449102233,0.5868635663313059,NBA,Shot Distance,2014-2024
14.472361809045225,0.5618044641539277,0.4728773007851115,0.5904540821560874,NBA,Shot Distance,2014-2024
14.773869346733667,0.5652568521409018,0.4752206947347964,0.5935966251282524,NBA,Shot Distance,2014-2024
15.07537688442211,0.5679550108442682,0.4768060514772333,0.5959888832953898,NBA,Shot Distance,2014-2024
15.376884422110551,0.5699108657203802,0.47765379573037636,0.5975731475372109,NBA,Shot Distance,2014-2024
15.678391959798994,0.5711363422255922,0.47778435221218046,0.5983651116480596,NBA,Shot Distance,2014-2024
15.979899497487436,0.5716433658162565,0.47721814564059956,0.5983804694222818,NBA,Shot Distance,2014-2024
16.281407035175878,0.5714438619487281,0.4759756007335887,0.5976349146542212,NBA,Shot Distance,2014-2024
16.58291457286432,0.5705497560793593,0.474077142209102,0.5961441411382226,NBA,Shot Distance,2014-2024
