season,probability_source,bin,bin_left,bin_right,n_shots,mean_pred,mean_actual,scope,group
2025-26,xP_prob,"[0.00, 0.07)",0.0,0.06666666666666667,22,0.032551577005816706,0.5,overall,all
2025-26,xP_prob,"[0.07, 0.13)",0.06666666666666667,0.13333333333333333,4,0.09552502727423154,0.75,overall,all
2025-26,xP_prob,"[0.13, 0.20)",0.13333333333333333,0.2,1,0.19936015208777594,1.0,overall,all
2025-26,xP_prob,"[0.20, 0.27)",0.2,0.26666666666666666,78,0.24771790550722572,0.15384615384615385,overall,all
2025-26,xP_prob,"[0.27, 0.33)",0.26666666666666666,0.3333333333333333,4910,0.3201385327087603,0.30325865580448064,overall,all
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,61865,0.36764055702123616,0.36634607613351655,overall,all
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,33229,0.42823695001990647,0.43419904300460443,overall,all
2025-26,xP_prob,"[0.47, 0.53)",0.4666666666666667,0.5333333333333333,4315,0.4814254014908998,0.46581691772885286,overall,all
2025-26,xP_prob,"[0.53, 0.60)",0.5333333333333333,0.6,15892,0.5866440828804216,0.573559023408004,overall,all
2025-26,xP_prob,"[0.60, 0.67)",0.6,0.6666666666666666,16733,0.6146241406810015,0.6481802426343154,overall,all
2025-26,xP_prob,"[0.67, 0.73)",0.6666666666666666,0.7333333333333333,209,0.6809398855781862,0.4880382775119617,overall,all
2025-26,xP_prob,"[0.73, 0.80)",0.7333333333333333,0.8,421,0.7854540104990556,0.6959619952494062,overall,all
2025-26,xP_prob,"[0.80, 0.87)",0.8,0.8666666666666667,152,0.8042242120244825,0.7828947368421053,overall,all
2025-26,xP_prob,"[0.87, 0.93)",0.8666666666666667,0.9333333333333333,8309,0.8928105754057621,0.8958960163677939,overall,all
2025-26,xP_prob,"[0.53, 0.60)",0.5333333333333333,0.6,15697,0.5869349102282808,0.5734853793718545,distance_band,0-4 ft
2025-26,xP_prob,"[0.60, 0.67)",0.6,0.6666666666666666,16732,0.6146248929971002,0.6481592158737748,distance_band,0-4 ft
2025-26,xP_prob,"[0.67, 0.73)",0.6666666666666666,0.7333333333333333,209,0.6809398855781862,0.4880382775119617,distance_band,0-4 ft
2025-26,xP_prob,"[0.73, 0.80)",0.7333333333333333,0.8,35,0.7407743782287403,0.4857142857142857,distance_band,0-4 ft
2025-26,xP_prob,"[0.80, 0.87)",0.8,0.8666666666666667,1,0.8664975665965488,1.0,distance_band,0-4 ft
2025-26,xP_prob,"[0.87, 0.93)",0.8666666666666667,0.9333333333333333,8309,0.8928105754057621,0.8958960163677939,distance_band,0-4 ft
2025-26,xP_prob,"[0.27, 0.33)",0.26666666666666666,0.3333333333333333,106,0.32315205467165103,0.41509433962264153,distance_band,14-22 ft
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,3731,0.38036933547477303,0.3921200750469043,distance_band,14-22 ft
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,6778,0.4219593894348606,0.42652699911478315,distance_band,14-22 ft
2025-26,xP_prob,"[0.47, 0.53)",0.4666666666666667,0.5333333333333333,22,0.4903456974619991,0.5,distance_band,14-22 ft
2025-26,xP_prob,"[0.27, 0.33)",0.26666666666666666,0.3333333333333333,3704,0.3245926832266543,0.30534557235421167,distance_band,22-30 ft
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,54131,0.3653890716105794,0.36324841587999485,distance_band,22-30 ft
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,2107,0.40546503150113455,0.38205980066445183,distance_band,22-30 ft
2025-26,xP_prob,"[0.47, 0.53)",0.4666666666666667,0.5333333333333333,3,0.47195798196567473,0.6666666666666666,distance_band,22-30 ft
2025-26,xP_prob,"[0.00, 0.07)",0.0,0.06666666666666667,22,0.032551577005816706,0.5,distance_band,30+ ft
2025-26,xP_prob,"[0.07, 0.13)",0.06666666666666667,0.13333333333333333,4,0.09552502727423154,0.75,distance_band,30+ ft
2025-26,xP_prob,"[0.13, 0.20)",0.13333333333333333,0.2,1,0.19936015208777594,1.0,distance_band,30+ ft
2025-26,xP_prob,"[0.20, 0.27)",0.2,0.26666666666666666,78,0.24771790550722572,0.15384615384615385,distance_band,30+ ft
2025-26,xP_prob,"[0.27, 0.33)",0.26666666666666666,0.3333333333333333,1084,0.304506262310228,0.28690036900369004,distance_band,30+ ft
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,10,0.35844882822539653,0.3,distance_band,30+ ft
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,1499,0.3906558097968579,0.3342228152101401,distance_band,4-8 ft
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,12012,0.43320834956754994,0.4243256743256743,distance_band,4-8 ft
2025-26,xP_prob,"[0.47, 0.53)",0.4666666666666667,0.5333333333333333,3119,0.48228002538780296,0.4664956716896441,distance_band,4-8 ft
2025-26,xP_prob,"[0.53, 0.60)",0.5333333333333333,0.6,140,0.5686938147873293,0.6,distance_band,4-8 ft
2025-26,xP_prob,"[0.60, 0.67)",0.6,0.6666666666666666,1,0.6020363877178029,1.0,distance_band,4-8 ft
2025-26,xP_prob,"[0.73, 0.80)",0.7333333333333333,0.8,367,0.7909627716968912,0.7193460490463215,distance_band,4-8 ft
2025-26,xP_prob,"[0.80, 0.87)",0.8,0.8666666666666667,151,0.8038118057028131,0.7814569536423841,distance_band,4-8 ft
2025-26,xP_prob,"[0.27, 0.33)",0.26666666666666666,0.3333333333333333,16,0.32812442431272326,0.1875,distance_band,8-14 ft
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,2494,0.38366948153263003,0.41459502806736165,distance_band,8-14 ft
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,12332,0.4307355947327024,0.456941290950373,distance_band,8-14 ft
2025-26,xP_prob,"[0.47, 0.53)",0.4666666666666667,0.5333333333333333,1171,0.4790057463352811,0.4628522630230572,distance_band,8-14 ft
2025-26,xP_prob,"[0.53, 0.60)",0.5333333333333333,0.6,55,0.5493335493110726,0.5272727272727272,distance_band,8-14 ft
2025-26,xP_prob,"[0.73, 0.80)",0.7333333333333333,0.8,19,0.7613525247019691,0.631578947368421,distance_band,8-14 ft
2025-26,xP_prob,"[0.07, 0.13)",0.06666666666666667,0.13333333333333333,4,0.09552502727423154,0.75,SHOT_ZONE_BASIC,Above the Break 3
2025-26,xP_prob,"[0.13, 0.20)",0.13333333333333333,0.2,1,0.19936015208777594,1.0,SHOT_ZONE_BASIC,Above the Break 3
2025-26,xP_prob,"[0.20, 0.27)",0.2,0.26666666666666666,78,0.24771790550722572,0.15384615384615385,SHOT_ZONE_BASIC,Above the Break 3
2025-26,xP_prob,"[0.27, 0.33)",0.26666666666666666,0.3333333333333333,4712,0.3199866440296672,0.30093378607809845,SHOT_ZONE_BASIC,Above the Break 3
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,40064,0.3585401187497007,0.35600539137380194,SHOT_ZONE_BASIC,Above the Break 3
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,87,0.426060966989326,0.4827586206896552,SHOT_ZONE_BASIC,Above the Break 3
2025-26,xP_prob,"[0.27, 0.33)",0.26666666666666666,0.3333333333333333,17,0.3278644007276377,0.23529411764705882,SHOT_ZONE_BASIC,In The Paint (Non-RA)
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,4145,0.38614965221335984,0.3898673100120627,SHOT_ZONE_BASIC,In The Paint (Non-RA)
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,21279,0.4305133481882737,0.4432069176183091,SHOT_ZONE_BASIC,In The Paint (Non-RA)
2025-26,xP_prob,"[0.47, 0.53)",0.4666666666666667,0.5333333333333333,3538,0.48159189417043874,0.4714527981910684,SHOT_ZONE_BASIC,In The Paint (Non-RA)
2025-26,xP_prob,"[0.53, 0.60)",0.5333333333333333,0.6,158,0.5653807304754432,0.5949367088607594,SHOT_ZONE_BASIC,In The Paint (Non-RA)
2025-26,xP_prob,"[0.60, 0.67)",0.6,0.6666666666666666,1,0.6020363877178029,1.0,SHOT_ZONE_BASIC,In The Paint (Non-RA)
2025-26,xP_prob,"[0.73, 0.80)",0.7333333333333333,0.8,381,0.7897330118283536,0.7191601049868767,SHOT_ZONE_BASIC,In The Paint (Non-RA)
2025-26,xP_prob,"[0.80, 0.87)",0.8,0.8666666666666667,151,0.8038118057028131,0.7814569536423841,SHOT_ZONE_BASIC,In The Paint (Non-RA)
2025-26,xP_prob,"[0.27, 0.33)",0.26666666666666666,0.3333333333333333,2,0.32849397186020796,0.5,SHOT_ZONE_BASIC,Left Corner 3
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,7146,0.3856008777078706,0.38399104394066613,SHOT_ZONE_BASIC,Left Corner 3
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,949,0.4044702074397654,0.37407797681770283,SHOT_ZONE_BASIC,Left Corner 3
2025-26,xP_prob,"[0.47, 0.53)",0.4666666666666667,0.5333333333333333,2,0.47151460477946705,0.5,SHOT_ZONE_BASIC,Left Corner 3
2025-26,xP_prob,"[0.27, 0.33)",0.26666666666666666,0.3333333333333333,179,0.323309755173917,0.3687150837988827,SHOT_ZONE_BASIC,Mid-Range
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,4016,0.3781528126907896,0.3834661354581673,SHOT_ZONE_BASIC,Mid-Range
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,9845,0.4281910615829493,0.42579989842559673,SHOT_ZONE_BASIC,Mid-Range
2025-26,xP_prob,"[0.47, 0.53)",0.4666666666666667,0.5333333333333333,774,0.48070104898232974,0.4392764857881137,SHOT_ZONE_BASIC,Mid-Range
2025-26,xP_prob,"[0.53, 0.60)",0.5333333333333333,0.6,37,0.5540628072220284,0.5135135135135135,SHOT_ZONE_BASIC,Mid-Range
2025-26,xP_prob,"[0.73, 0.80)",0.7333333333333333,0.8,5,0.772151535098747,0.4,SHOT_ZONE_BASIC,Mid-Range
2025-26,xP_prob,"[0.53, 0.60)",0.5333333333333333,0.6,15697,0.5869349102282808,0.5734853793718545,SHOT_ZONE_BASIC,Restricted Area
2025-26,xP_prob,"[0.60, 0.67)",0.6,0.6666666666666666,16732,0.6146248929971002,0.6481592158737748,SHOT_ZONE_BASIC,Restricted Area
2025-26,xP_prob,"[0.67, 0.73)",0.6666666666666666,0.7333333333333333,209,0.6809398855781862,0.4880382775119617,SHOT_ZONE_BASIC,Restricted Area
2025-26,xP_prob,"[0.73, 0.80)",0.7333333333333333,0.8,35,0.7407743782287403,0.4857142857142857,SHOT_ZONE_BASIC,Restricted Area
2025-26,xP_prob,"[0.80, 0.87)",0.8,0.8666666666666667,1,0.8664975665965488,1.0,SHOT_ZONE_BASIC,Restricted Area
2025-26,xP_prob,"[0.87, 0.93)",0.8666666666666667,0.9333333333333333,8309,0.8928105754057621,0.8958960163677939,SHOT_ZONE_BASIC,Restricted Area
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,6494,0.38570616973201927,0.38512473052048046,SHOT_ZONE_BASIC,Right Corner 3
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,1069,0.4046225854449506,0.3816651075771749,SHOT_ZONE_BASIC,Right Corner 3
2025-26,xP_prob,"[0.47, 0.53)",0.4666666666666667,0.5333333333333333,1,0.4728447363380901,1.0,SHOT_ZONE_BASIC,Right Corner 3
2025-26,xP_prob,"[0.73, 0.80)",0.7333333333333333,0.8,386,0.7895052724924779,0.7150259067357513,shot_type_family,dunk
2025-26,xP_prob,"[0.80, 0.87)",0.8,0.8666666666666667,152,0.8042242120244825,0.7828947368421053,shot_type_family,dunk
2025-26,xP_prob,"[0.87, 0.93)",0.8666666666666667,0.9333333333333333,8309,0.8928105754057621,0.8958960163677939,shot_type_family,dunk
2025-26,xP_prob,"[0.00, 0.07)",0.0,0.06666666666666667,3,0.028449077182990997,0.6666666666666666,shot_type_family,floater
2025-26,xP_prob,"[0.20, 0.27)",0.2,0.26666666666666666,5,0.22989995389010248,0.0,shot_type_family,floater
2025-26,xP_prob,"[0.27, 0.33)",0.26666666666666666,0.3333333333333333,35,0.3117761744647291,0.2857142857142857,shot_type_family,floater
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,2037,0.3853338099684837,0.45115365733922436,shot_type_family,floater
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,8518,0.434386733166482,0.44658370509509276,shot_type_family,floater
2025-26,xP_prob,"[0.47, 0.53)",0.4666666666666667,0.5333333333333333,1087,0.47406940440002354,0.45170193192272307,shot_type_family,floater
2025-26,xP_prob,"[0.53, 0.60)",0.5333333333333333,0.6,6,0.5957531816902275,0.5,shot_type_family,floater
2025-26,xP_prob,"[0.60, 0.67)",0.6,0.6666666666666666,1326,0.6385840865007639,0.49924585218702866,shot_type_family,floater
2025-26,xP_prob,"[0.67, 0.73)",0.6666666666666666,0.7333333333333333,28,0.6702746822685274,0.5714285714285714,shot_type_family,floater
2025-26,xP_prob,"[0.27, 0.33)",0.26666666666666666,0.3333333333333333,1,0.3166208768211078,0.0,shot_type_family,hook
2025-26,xP_prob,"[0.33, 0.40)",0.3333333333333333,0.4,217,0.3870994039966192,0.3870967741935484,shot_type_family,hook
2025-26,xP_prob,"[0.40, 0.47)",0.4,0.4666666666666667,2489,0.44031311342849966,0.46564885496183206,shot_type_family,hook
2025-26,xP_prob,"[0.47, 0.53)",0.4666666666666667,0.5333333333333333,385,0.47233165038936886,0.4987012987012987,shot_type_family,hook
2025-26,xP_prob,"[0.53, 0.60)",0.5333333333333333,0.6,3,0.5995129166676175,1.0,shot_type_family,hook
2025-26,xP_prob,"[0.60, 0.67)",0.6,0.6666666666666666,827,0.6344332779733632,0.5634824667472793,shot_type_family,hook
2025-26,xP_prob,"[0.67, 0.73)",0.6666666666666666,0.7333333333333333,4,0.6679822968820812,0.75,shot_type_family,hook
2025-26,xP_prob,"[0.00, 0.07)",0.0,0.06666666666666667,18,0.03265509382281298,0.4444444444444444,shot_type_family,jump_shot
2025-26,xP_prob,"[0.07, 0.13)",0.06666666666666667,0.13333333333333333,3,0.08486867145077037,0.6666666666666666,shot_type_family,jump_shot
