x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window,baseline_distance
0.0,1.2159653246127962,-0.14690208376646008,2.578832732992052,NBA,Shot Distance,2014-2024,13.0
0.3015075376884422,1.0603859670914952,-0.30128414857216,2.4220560827551507,NBA,Shot Distance,2014-2024,13.0
0.6030150753768844,0.9158777608922659,-0.4445644660642476,2.2763199878487796,NBA,Shot Distance,2014-2024,13.0
0.9045226130653266,0.7820543127657544,-0.5771191711339982,2.1412277966655067,NBA,Shot Distance,2014-2024,13.0
1.2060301507537687,0.658529229462608,-0.6993269455772864,2.0163854045025023,NBA,Shot Distance,2014-2024,13.0
1.507537688442211,0.5449161177334743,-0.8115686431067317,1.9014008785736805,NBA,Shot Distance,2014-2024,13.0
1.809045226130653,0.44082858432899985,-0.9142269394163447,1.7958841080743444,NBA,Shot Distance,2014-2024,13.0
2.1105527638190953,0.3458802359998321,-1.0076860074926146,1.699446479492279,NBA,Shot Distance,2014-2024,13.0
2.4120603015075375,0.2596846794966172,-1.0923312182409626,1.611700577234197,NBA,Shot Distance,2014-2024,13.0
2.7135678391959797,0.18185552157000373,-1.168548866427273,1.5322599095672802,NBA,Shot Distance,2014-2024,13.0
3.015075376884422,0.11200636897063787,-1.2367259219062772,1.460738659847553,NBA,Shot Distance,2014-2024,13.0
3.316582914572864,0.049750828449167006,-1.2972498061097242,1.396751463008058,NBA,Shot Distance,2014-2024,13.0
3.618090452261306,-0.0052974932437617195,-1.350508193787799,1.3399132073002755,NBA,Shot Distance,2014-2024,13.0
3.9195979899497484,-0.05352498935750116,-1.3968888400294088,1.2898388613144063,NBA,Shot Distance,2014-2024,13.0
4.221105527638191,-0.09531805314140485,-1.4367794326249206,1.246143326342111,NBA,Shot Distance,2014-2024,13.0
4.522613065326633,-0.13106307784482496,-1.4705674698745355,1.2084413141848855,NBA,Shot Distance,2014-2024,13.0
4.824120603015075,-0.16114645671711503,-1.4986401639839928,1.1763472505497627,NBA,Shot Distance,2014-2024,13.0
5.125628140703517,-0.18595458300762724,-1.5213843702252308,1.149475204209976,NBA,Shot Distance,2014-2024,13.0
5.427135678391959,-0.20587384996571512,-1.5391865420725763,1.127438842141146,NBA,Shot Distance,2014-2024,13.0
5.7286432160804015,-0.22129065084073085,-1.5524327125554065,1.1098514108739448,NBA,Shot Distance,2014-2024,13.0
6.030150753768844,-0.23259137888202774,-1.561508502097088,1.0963257443330325,NBA,Shot Distance,2014-2024,13.0
6.331658291457286,-0.24016242733895898,-1.5667991531389087,1.0864742984609908,NBA,Shot Distance,2014-2024,13.0
6.633165829145728,-0.24439018946087698,-1.568689591878346,1.079909212956592,NBA,Shot Distance,2014-2024,13.0
