sport,model,sample_window,eval_mode,accuracy,balanced_accuracy,auc_roc,average_precision,log_loss,brier_score,precision_at_0_5,recall_at_0_5,f1_at_0_5,positive_rate_eval,n_train,n_eval,sampled_rows_for_fit,archive_rows_in_window
NBA,GAM (PyGAM),2014-2024,single random holdout (not CV),0.6218333333333333,0.6053991489002767,0.6426440903631683,0.6373322112958767,0.6468290058773923,0.22845563875716407,0.6511291779584463,0.39019813057129454,0.48797219840231076,0.46181666666666665,240000,60000,300000,2070986
NHL,GAM (PyGAM),2014-2024,single random holdout (not CV),0.9323666666666667,0.501274236470814,0.7725323270358283,0.1956131523960912,0.2146255863498044,0.058665939065689225,0.55,0.00270935960591133,0.005392156862745098,0.06766666666666667,240000,60000,300000,1235895
