x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window,baseline_value
0.0,3.4575260372592265,2.7921851348455866,4.122866939672866,NHL,shotDistance,2014-2024,33.1058907145
0.4924110320959799,3.3170885045642304,2.669219831925255,3.964957177203206,NHL,shotDistance,2014-2024,33.1058907145
0.9848220641919598,3.1766509718692344,2.5453099298781487,3.80799201386032,NHL,shotDistance,2014-2024,33.1058907145
1.4772330962879399,3.0385898852788547,2.4226694558759054,3.654510314681804,NHL,shotDistance,2014-2024,33.1058907145
1.9696441283839197,2.9055490952653287,2.3038815374123933,3.507216653118264,NHL,shotDistance,2014-2024,33.1058907145
2.4620551604798995,2.7774732659437875,2.1889840436841954,3.3659624882033796,NHL,shotDistance,2014-2024,33.1058907145
2.9544661925758797,2.6543046485182997,2.0780056061716654,3.230603690864934,NHL,shotDistance,2014-2024,33.1058907145
3.4468772246718595,2.535985494192935,1.9709695881658393,3.101001400220031,NHL,shotDistance,2014-2024,33.1058907145
3.9392882567678393,2.422458054171759,1.8678957707343038,2.977020337609214,NHL,shotDistance,2014-2024,33.1058907145
4.431699288863819,2.313664579658841,1.768801968872423,2.8585271904452596,NHL,shotDistance,2014-2024,33.1058907145
4.924110320959799,2.2095473218582495,1.673705498128601,2.745389145587898,NHL,shotDistance,2014-2024,33.1058907145
5.416521353055779,2.1100485319740523,1.5826244181443472,2.6374726458037574,NHL,shotDistance,2014-2024,33.1058907145
5.9089323851517594,2.015110461210316,1.4955784881150374,2.5346424343055953,NHL,shotDistance,2014-2024,33.1058907145
6.401343417247739,1.924675360771112,1.4125897793267954,2.436760942215429,NHL,shotDistance,2014-2024,33.1058907145
6.893754449343719,1.8386854818605063,1.3336829004859347,2.343688063235078,NHL,shotDistance,2014-2024,33.1058907145
7.386165481439699,1.757083075682567,1.258884801048936,2.2552813503161984,NHL,shotDistance,2014-2024,33.1058907145
7.878576513535679,1.6798103934413628,1.1882241244918905,2.171396662390835,NHL,shotDistance,2014-2024,33.1058907145
8.370987545631658,1.6068096863409616,1.1217300856638233,2.0918892870181,NHL,shotDistance,2014-2024,33.1058907145
8.863398577727638,1.5380232055854317,1.0594308423477776,2.0166155688230853,NHL,shotDistance,2014-2024,33.1058907145
9.355809609823618,1.4733932023788405,1.001351319382874,1.945435085374807,NHL,shotDistance,2014-2024,33.1058907145
9.848220641919598,1.4128619279252574,0.9475104229164422,1.878213432934073,NHL,shotDistance,2014-2024,33.1058907145
10.340631674015578,1.3563449025103838,0.8978837366469645,1.8148060683738028,NHL,shotDistance,2014-2024,33.1058907145
10.833042706111558,1.3036457558234626,0.8522903542430671,1.7550011574038582,NHL,shotDistance,2014-2024,33.1058907145
11.325453738207537,1.2545388460307958,0.8104946562044208,1.6985830358571707,NHL,shotDistance,2014-2024,33.1058907145
11.817864770303519,1.2087985312017013,0.7722468403187732,1.6453502220846294,NHL,shotDistance,2014-2024,33.1058907145
12.310275802399499,1.1661991694054976,0.737286892150212,1.5951114466607832,NHL,shotDistance,2014-2024,33.1058907145
12.802686834495479,1.1265151187115028,0.7053482278757526,1.547682009547253,NHL,shotDistance,2014-2024,33.1058907145
13.295097866591458,1.0895207371890359,0.6761610211154329,1.5028804532626387,NHL,shotDistance,2014-2024,33.1058907145
13.787508898687438,1.0549903829074143,0.6494552105057145,1.460525555309114,NHL,shotDistance,2014-2024,33.1058907145
14.279919930783418,1.022698413935957,0.6249631646884182,1.4204336631834957,NHL,shotDistance,2014-2024,33.1058907145
14.772330962879398,0.9924191883439819,0.6024219587532224,1.3824164179347413,NHL,shotDistance,2014-2024,33.1058907145
15.264741994975378,0.9639270642008075,0.5815751934822002,1.3462789349194149,NHL,shotDistance,2014-2024,33.1058907145
15.757153027071357,0.9369963995757525,0.562174268220506,1.311818530930999,NHL,shotDistance,2014-2024,33.1058907145
16.249564059167337,0.9114015525381347,0.543979001540992,1.2788241035352776,NHL,shotDistance,2014-2024,33.1058907145
16.741975091263317,0.8869168811572729,0.5267574818937094,1.2470762804208364,NHL,shotDistance,2014-2024,33.1058907145
17.234386123359297,0.8633167435024849,0.5102850226866351,1.2163484643183347,NHL,shotDistance,2014-2024,33.1058907145
17.726797155455277,0.8403754976430897,0.494342090872369,1.1864089044138102,NHL,shotDistance,2014-2024,33.1058907145
18.219208187551256,0.817867501648405,0.4787110721537269,1.1570239311430832,NHL,shotDistance,2014-2024,33.1058907145
18.711619219647236,0.7955671135877551,0.46317172633351184,1.1279625008419984,NHL,shotDistance,2014-2024,33.1058907145
19.204030251743216,0.7732807051180192,0.4475270045925922,1.0990344056434462,NHL,shotDistance,2014-2024,33.1058907145
19.696441283839196,0.7509424885009236,0.4316931161573324,1.0701918608445147,NHL,shotDistance,2014-2024,33.1058907145
20.188852315935176,0.7285185828022273,0.41560571542004043,1.041431450184414,NHL,shotDistance,2014-2024,33.1058907145
20.681263348031155,0.7059751070876885,0.3991926902789414,1.0127575238964357,NHL,shotDistance,2014-2024,33.1058907145
21.173674380127135,0.6832781804230665,0.3823786404569134,0.9841777203892197,NHL,shotDistance,2014-2024,33.1058907145
21.666085412223115,0.6603939218741196,0.3650891831598153,0.9556986605884238,NHL,shotDistance,2014-2024,33.1058907145
22.158496444319095,0.6372884505066067,0.34725499536237503,0.9273219056508383,NHL,shotDistance,2014-2024,33.1058907145
22.650907476415075,0.6139278853862863,0.3288154615366718,0.8990403092359007,NHL,shotDistance,2014-2024,33.1058907145
23.143318508511054,0.5902783455789173,0.30972176098421766,0.8708349301736169,NHL,shotDistance,2014-2024,33.1058907145
23.635729540607038,0.5663059501502582,0.28993921013295737,0.842672690167559,NHL,shotDistance,2014-2024,33.1058907145
24.128140572703018,0.5419768181660679,0.26944867983263293,0.8145049564995028,NHL,shotDistance,2014-2024,33.1058907145
24.620551604798997,0.5172570686921052,0.24824693818558075,0.7862671991986296,NHL,shotDistance,2014-2024,33.1058907145
25.112962636894977,0.4921128207941285,0.22634582089921534,0.7578798206890416,NHL,shotDistance,2014-2024,33.1058907145
25.605373668990957,0.46651019353789674,0.20377019148089492,0.7292501955948986,NHL,shotDistance,2014-2024,33.1058907145
26.097784701086937,0.44041530598916856,0.1805547061687518,0.7002759058095854,NHL,shotDistance,2014-2024,33.1058907145
26.590195733182917,0.4137942772137029,0.15673942644766115,0.6708491279797447,NHL,shotDistance,2014-2024,33.1058907145
27.082606765278896,0.3866132262772578,0.13236431282799233,0.6408621397265233,NHL,shotDistance,2014-2024,33.1058907145
27.575017797374876,0.35883827225825543,0.10746258226428962,0.6102139622522212,NHL,shotDistance,2014-2024,33.1058907145
28.067428829470856,0.3304386330022122,0.08204105299707432,0.5788362130073501,NHL,shotDistance,2014-2024,33.1058907145
