player,avg_sdi,avg_xG,actual_goal_pct,attempts,residual
Matt Greene,0.5085264832555824,0.016919362569444433,0.027777777777777776,144,0.010858415208333343
Andrew Ference,0.5052921479823419,0.0228003699099099,0.02702702702702703,111,0.00422665711711713
Jan Hejda,0.5049752265250748,0.02429865194915252,0.00847457627118644,118,-0.01582407567796608
Cody Goloubef,0.5023474303711211,0.021227935243243228,0.010810810810810811,185,-0.010417124432432416
Willie Mitchell,0.5015584542577365,0.02510342308176099,0.025157232704402517,159,5.380962264152703e-05
Johnny Boychuk,0.5010306503683816,0.027359036647230304,0.025510204081632654,1372,-0.0018488325655976502
Zbynek Michalek,0.49959172394916895,0.021526630945945938,0.02702702702702703,222,0.005500396081081091
Francois Beauchemin,0.49808854737646574,0.03143600180141842,0.03829787234042553,705,0.006861870539007109
Michael Stone,0.49786020398947495,0.02270148220035777,0.026833631484794274,1118,0.004132149284436504
Brooks Orpik,0.4973648772474314,0.02059693739495797,0.014705882352941176,476,-0.005891055042016792
David Rundblad,0.4948639836333429,0.023164353551401853,0.028037383177570093,107,0.00487302962616824
Dalton Prout,0.4940984174750034,0.022015214254385948,0.017543859649122806,228,-0.004471354605263142
Christian Folin,0.4938441166497216,0.021744081238095223,0.025396825396825397,315,0.0036527441587301743
Shea Weber,0.49328512765304405,0.03570679205992508,0.05403959336543606,1869,0.01833280130551098
Johnny Oduya,0.49246586048840874,0.024555609910313886,0.02914798206278027,446,0.004592372152466384
Clayton Stoner,0.49211363739258257,0.02241382550264549,0.021164021164021163,189,-0.0012498043386243267
P.K. Subban,0.4916354485721227,0.0313950797507788,0.04205607476635514,1926,0.010660995015576338
Rob Scuderi,0.4916300496937168,0.019189033359999986,0.008,125,-0.011189033359999986
Duncan Keith,0.4916098437481514,0.030035509336124387,0.028708133971291867,1672,-0.0013273753648325205
Radko Gudas,0.49111428736003226,0.022057755002739713,0.020273972602739727,1825,-0.0017837823999999856
Marc Methot,0.4909551618853571,0.026056920092307676,0.027692307692307693,325,0.001635387600000017
Alexander Petrovic,0.4908032734952692,0.02681247813253011,0.015060240963855422,332,-0.011752237168674688
Nikita Okhotiuk,0.49053503909635,0.029312418932038828,0.02912621359223301,103,-0.00018620533980581722
Greg Pateryn,0.49045063497952945,0.02066251809619237,0.01002004008016032,499,-0.010642478016032051
Ben Lovejoy,0.49014523683031835,0.02516184820895521,0.020895522388059702,670,-0.004266325820895509
Martin Marincin,0.4898378127583224,0.024543219641693793,0.016286644951140065,307,-0.008256574690553728
Barret Jackman,0.4897530346282804,0.022449996860986535,0.013452914798206279,223,-0.008997082062780257
Keith Yandle,0.4896298435224876,0.03086201530318601,0.023124357656731757,1946,-0.007737657646454253
Eric Gelinas,0.489314209306108,0.0249142062142857,0.025,280,8.579378571429985e-05
Josh Gorges,0.48926204895377656,0.027113438202764965,0.013824884792626729,217,-0.013288553410138236
Oscar Fantenberg,0.48923669044880375,0.023597084143426282,0.0199203187250996,251,-0.003676765418326681
Dylan McIlrath,0.48921486873497855,0.020727954358974343,0.02564102564102564,117,0.004913071282051297
Jakub Kindl,0.4890432639834514,0.02802444173913042,0.030434782608695653,230,0.0024103408695652327
Kevin Korchinski,0.48900109154881044,0.02387102322580645,0.03870967741935484,155,0.014838654193548389
Logan Stanley,0.4885161011409754,0.021415947749999987,0.0175,400,-0.003915947749999985
David Warsofsky,0.48837241484803795,0.020405005327868837,0.00819672131147541,122,-0.012208284016393426
Joe Morrow,0.4879159929804152,0.025494429700598793,0.029940119760479042,334,0.004445690059880249
Alexei Emelin,0.48783226743178654,0.023043417581395335,0.01627906976744186,430,-0.0067643478139534745
Brent Seabrook,0.4874862605056821,0.03198375006456818,0.0387409200968523,1239,0.00675717003228412
Ryan Murphy,0.4871400005717284,0.03843111600938966,0.028169014084507043,213,-0.010262101924882614
Christian Ehrhoff,0.4870226167678768,0.028390193724137917,0.017241379310344827,290,-0.01114881441379309
Tyler Kleven,0.4867355375102488,0.023832518068965507,0.027586206896551724,145,0.0037536888275862164
Zach Bogosian,0.4865536885162383,0.029915644400337827,0.022804054054054054,1184,-0.0071115903462837735
Colin Miller,0.48640664410558704,0.027830628460471556,0.03259361997226075,1442,0.004762991511789192
Nick Schultz,0.48619487865326677,0.02998519919540229,0.011494252873563218,261,-0.01849094632183907
Dion Phaneuf,0.48615840957957973,0.0330766937142857,0.023645320197044337,1015,-0.00943137351724136
Jonas Brodin,0.4861080900987918,0.030228822668500677,0.0343878954607978,1454,0.00415907279229712
Kevin Gravel,0.48593018597785204,0.023452712401746713,0.004366812227074236,229,-0.019085900174672477
Chris Wideman,0.4858747381814768,0.03161955715930901,0.04030710172744722,521,0.008687544568138209
Justin Braun,0.48578970658047654,0.024749872619808294,0.022364217252396165,1252,-0.002385655367412129
Brett Kulak,0.48562213918940395,0.02771387883683359,0.025040387722132473,1238,-0.0026734911147011167
Parker Wotherspoon,0.4854129289885188,0.02339726815384614,0.007692307692307693,130,-0.015704960461538447
Jason Garrison,0.4853998954466543,0.02711170032478631,0.023931623931623933,585,-0.003180076393162378
Stephen Johns,0.48538961473423736,0.023935558680203035,0.03807106598984772,394,0.014135507309644683
Travis Hamonic,0.48484465697238355,0.02484234060456507,0.025293028994447873,1621,0.0004506883898828043
