sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window,level_key,level_label
NHL,LogisticGAM,Expected Goal,goalie_froze,discrete_summary,0.0,0.0,,,,2014-2024,shotGoalieFroze,No
NHL,LogisticGAM,Expected Goal,goalie_froze,discrete_summary,1.0,-5.285935200434082,,,,2014-2024,shotGoalieFroze,Yes
