sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window,effect_label
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-62.8140703517588,-0.5826099608201026,-0.9037313279923491,-0.26148859364785604,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-61.80904522613066,-0.5576764520899877,-0.8797910318032366,-0.23556187237673898,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-60.80402010050251,-0.5339438858693845,-0.8565871994674928,-0.21130057227127608,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-59.798994974874375,-0.5113728710986081,-0.8341016273200075,-0.18864411487720872,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-58.79396984924624,-0.4899240167179743,-0.8123253618001554,-0.16752267163579326,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-57.788944723618094,-0.46955793166779813,-0.7912563810536296,-0.14785948228196666,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-56.78391959798995,-0.4502352248883952,-0.7708975996549922,-0.1295728501217981,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-55.77889447236181,-0.431916505320081,-0.7512551232691655,-0.11257788737099661,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-54.773869346733676,-0.4145623819031711,-0.7323366974864369,-0.09678806631990522,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-53.76884422110553,-0.39813346357798063,-0.7141503110643035,-0.08211661609165777,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-52.76381909547739,-0.38259035928482527,-0.6967029283205695,-0.06847779024908096,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-51.75879396984925,-0.3678936779640205,-0.6799993384734404,-0.0557880174546006,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-50.75376884422111,-0.35400402855588176,-0.6640411212841053,-0.043966935827658205,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-49.74874371859297,-0.3408820200007243,-0.6488257382737105,-0.03293830172773815,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-48.743718592964825,-0.3284882612388637,-0.634345766796794,-0.022630755680933423,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-47.73869346733669,-0.3167833612106156,-0.6205883000436849,-0.012978422377546428,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-46.73366834170855,-0.30572792885629513,-0.6075345393469459,-0.003921318365644355,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-45.72864321608041,-0.29528257311621775,-0.5951596058689916,0.004594459636556136,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-44.72361809045226,-0.2854079029306992,-0.583432596989707,0.012616791128308602,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-43.718592964824126,-0.27606452724005465,-0.5723169089426818,0.02018785446257243,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-42.71356783919599,-0.26721305498459985,-0.5617708422132771,0.027344732244077408,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-41.708542713567844,-0.2588140951046498,-0.5517485008704179,0.034120310661118314,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-40.7035175879397,-0.25082825654052043,-0.5422009923745246,0.040544479293483704,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-39.69849246231156,-0.24321614823252685,-0.533077931362944,0.04664563489789031,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-38.693467336683426,-0.23593837912098464,-0.5243292499813481,0.052452491739378715,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-37.68844221105528,-0.2289556467654072,-0.5159073950600583,0.05799610152924395,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-36.68341708542714,-0.22223545670170763,-0.5077756946505823,0.06330478124716699,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-35.678391959799,-0.21575682711769667,-0.49991491457789444,0.06840126034250105,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-34.673366834170864,-0.20949988795131091,-0.49231384778933435,0.07331407188671246,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-33.66834170854273,-0.20344476914048626,-0.484966592271903,0.07807705399093046,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-32.663316582914575,-0.19757160062315915,-0.47787084698570564,0.08272764573938729,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-31.65829145728644,-0.19186051233726603,-0.47102631344662643,0.08730528877209442,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-30.6532663316583,-0.18629163422074313,-0.4644332078958989,0.09184993945441267,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-29.64824120603015,-0.18084509621152667,-0.4580908933863043,0.09640070096325104,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-28.643216080402013,-0.1755010282475531,-0.45199664581871307,0.10099458932360683,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-27.638190954773876,-0.1702395602667588,-0.44614457184710676,0.10566545131358918,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-26.63316582914574,-0.16504082220707983,-0.44052469871961575,0.11044305430545609,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-25.6281407035176,-0.15988494400645276,-0.4351222559196971,0.1153523679067916,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-24.62311557788945,-0.1547520556028137,-0.4299171656790825,0.12041305447345518,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-23.618090452261313,-0.14962228693409907,-0.42488375424857483,0.1256391803803767,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-22.613065326633176,-0.14447576793824513,-0.4199906888492816,0.13103915297279134,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-21.608040201005025,-0.1392926285531882,-0.4152011374282304,0.136615880321854,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-20.603015075376888,-0.1340529987168647,-0.4104731408196572,0.1423671433859277,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-19.59798994974875,-0.12873700836721091,-0.4057601807524828,0.14828616401806105,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-18.592964824120614,-0.12332478744216302,-0.4010119232245705,0.15436234834024454,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-17.587939698492477,-0.11779646587965753,-0.396175115630282,0.1605821838709669,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-16.582914572864325,-0.1121321736176305,-0.3911946178430366,0.16693027060777554,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-15.577889447236188,-0.10631204059401844,-0.38601455203226764,0.17339047084423076,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-14.572864321608051,-0.10031619674675762,-0.38057956288477834,0.1799471693912631,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-13.5678391959799,-0.09412477201378433,-0.37483618849833655,0.1865866444707679,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-12.562814070351763,-0.08771792102793008,-0.3687343927953682,0.19329855073950797,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-11.557788944723626,-0.08108934200538187,-0.3622515736515004,0.20007288964073666,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-10.552763819095489,-0.07426869030868655,-0.3554305777949603,0.20689319717758714,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-9.547738693467352,-0.06729152187407572,-0.34832883001764714,0.2137457862694957,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-8.5427135678392,-0.060193392637780674,-0.34100697704493205,0.22062019176937064,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-7.5376884422110635,-0.05300985853603346,-0.33352744951553565,0.22750773244346867,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-6.532663316582926,-0.04577647550506514,-0.32595316077151,0.23440020976137976,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-5.527638190954775,-0.03852879948110732,-0.31834633101276283,0.24128873205054813,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-4.522613065326638,-0.031302386400391846,-0.31076743274862717,0.24816265994784348,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-3.517587939698501,-0.024132792199149766,-0.3032742598701345,0.25500867547183503,0.0,2014-2024,shotAngle
