sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window,effect_label
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.0,0.0044198803544300835,-0.586764491755824,0.5956042524646842,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.0251256281407035,0.004256949797090681,-0.588449374142808,0.5969632737369892,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.050251256281407,0.004094821077721078,-0.5901149027139682,0.5983045448694104,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.0753768844221105,0.003933642791602354,-0.5917603741036533,0.599627659686858,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.100502512562814,0.003773563534015145,-0.5933850996814723,0.6009322267495026,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.1256281407035176,0.003614731900241308,-0.594988405113907,0.6022178689143897,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.150753768844221,0.0034572964855617005,-0.5965696299364392,0.6034842229075627,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.1758793969849246,0.0033014058852570694,-0.5981281271361362,0.6047309389066503,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.2010050251256281,0.0031472086946090494,-0.5996632627446358,0.6059576801338538,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.2261306532663316,0.0029948535088983874,-0.6011744154414466,0.6071641224592433,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.2512562814070352,0.0028444889234064963,-0.6026609761674585,0.6083499540142716,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.2763819095477387,0.0026962635334140117,-0.6041223477485501,0.609514874815378,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.3015075376884422,0.0025503259342025686,-0.6055579445291611,0.6106585963975664,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.3266331658291457,0.0024068247210530247,-0.6069671920157002,0.6117808414578062,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.3517587939698492,0.00226590848924646,-0.6083495265296227,0.6128813435081156,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.3768844221105527,0.002127725834064176,-0.6097043948700388,0.6139598465381672,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.4020100502512562,0.0019924253507870304,-0.6110312539856769,0.6150161046872509,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.4271356783919598,0.0018601556346965475,-0.6123295706560342,0.6160498819254272,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.4522613065326633,0.0017310652810732519,-0.6135988211815472,0.6170609517436938,2.0,2014-2024,period
NHL,LogisticGAM,Expected Goal,period,continuous_pdp,1.4773869346733668,0.0016053028851988893,-0.6148384910825943,0.6180490968529919,2.0,2014-2024,period
