x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window,baseline_distance,observed_max_distance,curve
0.0,2.1375456815227407,1.9956482591074618,2.279443103938019,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
0.4924110320959799,2.0174930227493313,1.8787955008676493,2.156190544631013,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
0.9848220641919598,1.8974403639759216,1.7610074457907552,2.033873282161088,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
1.4772330962879399,1.7808733977735374,1.6457359688364404,1.9160108267106344,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
1.9696441283839197,1.6715649743482361,1.5368671917491397,1.8062627569473326,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
2.4620551604798995,1.569271388958262,1.4343264254740415,1.7042163524424823,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
2.9544661925758797,1.4737453719413902,1.3380241818285068,1.6094665620542732,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
3.4468772246718595,1.3847396536353966,1.2478545375926111,1.521624769678182,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
3.9392882567678393,1.3020069643780552,1.163692525762507,1.4403214029936033,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
4.431699288863819,1.2253000345071423,1.0853935972023838,1.3652064718119006,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
4.924110320959799,1.1543715943604318,1.012794502733898,1.2959486859869653,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
5.416521353055779,1.0889743742756994,0.9457149994405658,1.2322337491108328,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
5.9089323851517594,1.02886110459072,0.8839599266369548,1.1737622825444856,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
6.401343417247739,0.9737845156432694,0.8273213490546445,1.1202476822318943,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
6.893754449343719,0.9234973377711221,0.7755805902804543,1.0714140852617897,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
7.386165481439699,0.8777523013120532,0.7285100687449817,1.0269945338791246,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
7.878576513535679,0.836302136603838,0.6858749054838343,0.9867293677238418,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
8.370987545631658,0.7988995739842516,0.647434305666301,0.9503648423022021,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
8.863398577727638,0.7652973437910691,0.6129427324863828,0.9176519550957551,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
9.355809609823618,0.7352481763620653,0.5821508986424564,0.8883454540816742,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
9.848220641919598,0.7085048020350159,0.5548066015755223,0.8622030024945094,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
10.340631674015578,0.6848199511476956,0.5306554266219247,0.8389844756734665,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
10.833042706111558,0.6639463540378796,0.5094413389000987,0.8184513691756606,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
