sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window,level_key,level_label
NHL,LogisticGAM,Expected Goal,rush,discrete_summary,0.0,0.0,,,,2014-2024,shotRush,No
NHL,LogisticGAM,Expected Goal,rush,discrete_summary,1.0,0.8621153819525649,,,,2014-2024,shotRush,Yes
