x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window
0.0,2.201671223678133,2.0938863445114495,2.4178639118336176,NHL,Shot Distance,2014-2024
0.5025125628140703,2.201671223678133,2.0938863445114495,2.4178639118336176,NHL,Shot Distance,2014-2024
1.0050251256281406,2.201614748564526,2.09385314198423,2.417784877567828,NHL,Shot Distance,2014-2024
1.507537688442211,2.1941684018815977,2.088788811827694,2.407811319049571,NHL,Shot Distance,2014-2024
2.0100502512562812,2.183308373819129,2.0804093537961466,2.3939138291589726,NHL,Shot Distance,2014-2024
2.5125628140703515,2.169256110292712,2.068921470587068,2.376354109081888,NHL,Shot Distance,2014-2024
3.015075376884422,2.152233057217943,2.0545318648979394,2.3553938600041726,NHL,Shot Distance,2014-2024
3.517587939698492,2.1324606605104135,2.037447239426243,2.331294783111682,NHL,Shot Distance,2014-2024
4.0201005025125625,2.1101603660857196,2.017874296869459,2.3043185795902725,NHL,Shot Distance,2014-2024
4.522613065326633,2.0855536198594544,1.9960197399250688,2.2747269506257997,NHL,Shot Distance,2014-2024
5.025125628140703,2.0588618677472112,1.972090271290553,2.242781597404118,NHL,Shot Distance,2014-2024
5.527638190954773,2.030306555664585,1.9462925936633926,2.209402119489894,NHL,Shot Distance,2014-2024
6.030150753768844,2.0001091295271696,1.9188334097410695,2.1746206316197245,NHL,Shot Distance,2014-2024
6.532663316582914,1.9684910352505585,1.8899194222210645,2.138196027912767,NHL,Shot Distance,2014-2024
7.035175879396984,1.935673718750346,1.8597573338008582,2.100387779687331,NHL,Shot Distance,2014-2024
7.537688442211055,1.9018786259421263,1.8285538471779321,2.061455358261728,NHL,Shot Distance,2014-2024
8.040201005025125,1.8673272027414924,1.7959248028227777,2.0216582349542653,NHL,Shot Distance,2014-2024
8.542713567839195,1.83224089506404,1.7624000383456804,1.9812558810832537,NHL,Shot Distance,2014-2024
9.045226130653266,1.7968411488253615,1.7284853363581258,1.940507767967003,NHL,Shot Distance,2014-2024
9.547738693467336,1.7613494099410514,1.6943931261373804,1.8996733669238228,NHL,Shot Distance,2014-2024
10.050251256281406,1.725987124326704,1.6572989631275683,1.859012149272023,NHL,Shot Distance,2014-2024
10.552763819095476,1.6909757378979127,1.618570427022053,1.8187835863299129,NHL,Shot Distance,2014-2024
11.055276381909547,1.6565366965702721,1.5806006571465574,1.7792471494158015,NHL,Shot Distance,2014-2024
11.557788944723617,1.6228914462593753,1.5436404864448545,1.7406623098480003,NHL,Shot Distance,2014-2024
12.060301507537687,1.590261432880817,1.5079407478607156,1.703288538944818,NHL,Shot Distance,2014-2024
12.562814070351758,1.5588681023501914,1.4737522743379126,1.6673853080245642,NHL,Shot Distance,2014-2024
13.065326633165828,1.5289329005830918,1.4410557886725512,1.6332120884055492,NHL,Shot Distance,2014-2024
13.567839195979898,1.5006772734951124,1.4102435439699263,1.6010283514060815,NHL,Shot Distance,2014-2024
14.070351758793969,1.474322667001847,1.381748977855104,1.5710935683444724,NHL,Shot Distance,2014-2024
14.572864321608039,1.4500905270188902,1.3558275361407448,1.5436672105390308,NHL,Shot Distance,2014-2024
15.07537688442211,1.4282001985693982,1.332728961762527,1.5190066600754597,NHL,Shot Distance,2014-2024
