sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window,level_key,level_label
NHL,LogisticGAM,Expected Goal,empty_net,discrete_summary,0.0,0.0,,,,2014-2024,shotOnEmptyNet,No
NHL,LogisticGAM,Expected Goal,empty_net,discrete_summary,1.0,3.6767966507938246,,,,2014-2024,shotOnEmptyNet,Yes
